Account,Document Number,Assignment,Document Type,Document Date,Net Due Date,Arrears by Net Due Date,Amount in Local Currency,Text,Reference
2841276,9974658275,9974658275,DG,9/2/2025,9/2/2025,27,-638.41,,PR_GR09_06_ONNR
2841276,9974658311,9974658311,DG,9/2/2025,9/2/2025,27,"-1,309.50",,PR_GR09_09_ONNR
2841276,9974658470,9974658470,DG,9/2/2025,9/2/2025,27,"-2,425.00",,PR_GR09_12_ONNR
2841276,9974658480,9974658480,DG,9/2/2025,9/2/2025,27,"-6,626.07",,PR_GR09_18_ONNR
2841276,9974658655,9974658655,DG,9/2/2025,9/2/2025,27,"-51,216.00",,PR_GR09_23_ONNR
2841276,9974658707,9974658707,DG,9/2/2025,9/2/2025,27,"-89,302.08",,PR_GR09_21_ONNR
2841276,9974658720,9974658720,DG,9/2/2025,9/2/2025,27,"-65,377.22",,PR_GR09_37_ONNR
2841276,9974658743,9974658743,DG,9/2/2025,9/2/2025,27,-250,,PR_GR09_26_ONNR
2841276,9974658866,9974658866,DG,9/2/2025,9/2/2025,27,"-1,552.00",,PR_GR09_28_ONNR
2841276,9974660822,9974660822,DG,9/3/2025,9/3/2025,26,"-39,500.34",,PR_GR09_40_ONNR
2841276,9974660930,9974660930,DG,9/3/2025,9/3/2025,26,"-4,074.00",,PR_GR09_32_ONNR
2841276,9974661183,9974661183,DG,9/3/2025,9/3/2025,26,"-7,321.87",,PR_GR09_60_ONNR
2841276,9974661322,9974661322,DG,9/3/2025,9/3/2025,26,-970,,PR_GR09_63_ONNR
2841276,9974661650,9974661650,DG,9/3/2025,9/3/2025,26,"-6,739.25",,PR_GR09_71_ONNR
2841276,9974661724,9974661724,DG,9/3/2025,9/3/2025,26,-552.19,,PR_GR09_74_ONNR
2841276,9974661867,9974661867,DG,9/3/2025,9/3/2025,26,"-3,168.99",,PR_GR09_77_ONNR
2841276,9974661962,9974661962,DG,9/3/2025,9/3/2025,26,"-3,858.49",,PR_GR09_80_ONNR
2841276,9974664576,9974664576,DG,9/4/2025,9/4/2025,25,"-11,640.00",,PR_WN09_18_NKNR
2841276,9974665091,9974665091,DG,9/4/2025,9/4/2025,25,"-9,835.80",,PR_WN09_12_NKNR
2841276,9974669804,9974669804,DG,9/8/2025,9/8/2025,21,"-31,155.76",,PR_GR09_103_ONNR
2841276,9974673585,,RV,9/10/2025,9/10/2025,19,"-154,727.77",,VR_WN09_02NKNR
2841276,9974673676,9974673676,DG,9/10/2025,9/11/2025,18,"-17,657.20",,PO256808/00823 (
2841276,9974673833,9974673833,DG,9/10/2025,9/10/2025,19,"-46,560.00",,PR_WN09_15_NKNR
2841276,9974674380,9974674380,DG,9/10/2025,9/10/2025,19,"-9,548.78",,PR_GR09_84_ONNR
2841276,9974675892,9974675892,DG,9/11/2025,9/11/2025,18,"-2,319.27",,PR_GR09_113_ONNR
2841276,9974675907,9974675907,DG,9/11/2025,9/11/2025,18,"-8,730.00",,PR_GR09_111_ONNR
2841276,9974676893,9974676893,DG,9/12/2025,9/12/2025,17,"-10,408.10",,PR_GR09_119_ONNR
2841276,9974677036,9974677036,DG,9/12/2025,9/12/2025,17,"-3,959.07",,PR_GR09_121_ONNR
2841276,9974677056,9974677056,DG,9/12/2025,9/12/2025,17,"-9,205.30",,PR_GR09_124_ONNR
2841276,9974677110,9974677110,DG,9/12/2025,9/12/2025,17,"-9,700.00",,PR_GR09_125_ONNR
2841276,9974677141,9974677141,DG,9/12/2025,9/12/2025,17,"-19,206.00",,PR_GR09_126_ONNR
2841276,9974681294,9974681294,DG,9/16/2025,9/16/2025,13,-680,,PR_WN09_31_NKNR
2841276,9974681327,9974681327,DG,9/16/2025,9/16/2025,13,-260,,PR_WN09_31_NKNR
2841276,9974681903,9974681903,DG,9/16/2025,9/16/2025,13,"-1,212.50",,PR_WN09_37_NKNR
2841276,9974682046,9974682046,DG,9/16/2025,9/16/2025,13,"-3,928.50",,PR_WN09_34_NKNR
2841276,9974682104,9974682104,DG,9/16/2025,9/16/2025,13,"-11,640.00",,PR_WN09_34_NKNR
2841276,9974683433,9974683433,DG,9/17/2025,9/17/2025,12,"-9,593.30",,PR_WN09_43_NKNR
